timestamp,SERIAL_0,SERIAL_1,SERIAL_2,SERIAL_3,SERIAL_4,SERIAL_5
1496328208550,0.371457,0,0,0,0,0
1496328208663,0.439883,0,0,0,0,0
1496328208773,0.391984,0,0,0,0,0
1496328208879,0.400782,0,0,0,0,0
1496328208989,0.418377,0,0,0,0,0
1496328209097,0.475073,0,0,0,0,0
1496328209210,0.486804,0,0,0,0,0
1496328209316,0.355816,0,0,0,0,0
1496328209426,0.449658,0,0,0,0,0
1496328209537,0.395894,0,0,0,0,0
1496328209650,0.391007,0,0,0,0,0
1496328209752,0.391984,0,0,0,0,0
1496328209867,0.442815,0,0,0,0,0
1496328209972,0.625611,0,0,0,0,0
1496328210082,0.342131,0,0,0,0,0
1496328210190,0.426197,0,0,0,0,0
1496328210301,0.407625,0,0,0,0,0
1496328210410,0.391007,0,0,0,0,0
1496328210523,0.400782,0,0,0,0,0
1496328210630,0.428153,0,0,0,0,0
1496328210738,0.758553,0,0,0,0,0
1496328210854,0.361681,0,0,0,0,0
1496328210961,0.44477,0,0,0,0,0
1496328211067,0.437928,0,0,0,0,0
1496328211175,0.41349,0,0,0,0,0
1496328211290,0.41349,0,0,0,0,0
1496328211401,0.396872,0,0,0,0,0
1496328211504,0.669599,0,0,0,0,0
1496328211615,0.393939,0,0,0,0,0
1496328211723,0.403715,0,0,0,0,0
1496328211834,0.431085,0,0,0,0,0
1496328211943,0.396872,0,0,0,0,0
1496328212049,0.402737,0,0,0,0,0
1496328212161,0.407625,0,0,0,0,0
1496328212269,0.461388,0,0,0,0,0
1496328212382,0.632454,0,0,0,0,0
1496328212488,0.342131,0,0,0,0,0
1496328212600,0.44477,0,0,0,0,0
1496328212708,0.42131,0,0,0,0,0
1496328212816,0.426197,0,0,0,0,0
1496328212925,0.434018,0,0,0,0,0
1496328213038,0.41349,0,0,0,0,0
1496328213143,0.44868,0,0,0,0,0
1496328213254,0.627566,0,0,0,0,0
1496328213364,0.352884,0,0,0,0,0
1496328213477,0.454545,0,0,0,0,0
1496328213585,0.42913,0,0,0,0,0
1496328213690,0.390029,0,0,0,0,0
1496328213801,0.42131,0,0,0,0,0
1496328213909,0.387097,0,0,0,0,0
1496328214022,0.457478,0,0,0,0,0
1496328214128,0.627566,0,0,0,0,0
1496328214239,0.335288,0,0,0,0,0
1496328214347,0.434995,0,0,0,0,0
1496328214460,0.399805,0,0,0,0,0
1496328214566,0.423265,0,0,0,0,0
1496328214675,0.424242,0,0,0,0,0
1496328214789,0.407625,0,0,0,0,0
1496328214898,0.627566,0,0,0,0,0
1496328215007,0.40176,0,0,0,0,0
1496328215117,0.398827,0,0,0,0,0
1496328215226,0.422287,0,0,0,0,0
1496328215335,0.438905,0,0,0,0,0
1496328215441,0.460411,0,0,0,0,0
1496328215551,0.406647,0,0,0,0,0
1496328215662,0.465298,0,0,0,0,0
1496328215772,0.601173,0,0,0,0,0
1496328215879,0.374389,0,0,0,0,0
1496328215987,0.446725,0,0,0,0,0
1496328216100,0.390029,0,0,0,0,0
1496328216206,0.395894,0,0,0,0,0
1496328216318,0.411535,0,0,0,0,0
1496328216424,0.411535,0,0,0,0,0
1496328216540,0.640274,0,0,0,0,0
1496328216646,0.386119,0,0,0,0,0
1496328216753,0.4174,0,0,0,0,0
1496328216864,0.464321,0,0,0,0,0
1496328216972,0.430108,0,0,0,0,0
1496328217085,0.434995,0,0,0,0,0
1496328217190,0.419355,0,0,0,0,0
1496328217301,0.456501,0,0,0,0,0
1496328217409,0.564027,0,0,0,0,0
1496328217522,0.382209,0,0,0,0,0
1496328217627,0.476051,0,0,0,0,0
1496328217738,0.406647,0,0,0,0,0
1496328217852,0.422287,0,0,0,0,0
1496328217961,0.43695,0,0,0,0,0
1496328218069,0.438905,0,0,0,0,0
1496328218177,0.595308,0,0,0,0,0
1496328218284,0.374389,0,0,0,0,0
1496328218395,0.434995,0,0,0,0,0
1496328218503,0.408602,0,0,0,0,0
1496328218617,0.420332,0,0,0,0,0
1496328218722,0.42522,0,0,0,0,0
1496328218838,0.446725,0,0,0,0,0
1496328218943,0.617791,0,0,0,0,0
1496328219050,0.390029,0,0,0,0,0
1496328219160,0.456501,0,0,0,0,0
1496328219275,0.43304,0,0,0,0,0
1496328219379,0.414467,0,0,0,0,0
1496328219492,0.441838,0,0,0,0,0
1496328219597,0.468231,0,0,0,0,0
1496328219710,0.618768,0,0,0,0,0
1496328219816,0.358749,0,0,0,0,0
1496328219931,0.458456,0,0,0,0,0
1496328220039,0.41349,0,0,0,0,0
1496328220145,0.416422,0,0,0,0,0
1496328220255,0.431085,0,0,0,0,0
1496328220364,0.539589,0,0,0,0,0
1496328220474,0.45259,0,0,0,0,0
1496328220586,0.398827,0,0,0,0,0
1496328220693,0.445748,0,0,0,0,0
1496328220803,0.420332,0,0,0,0,0
1496328220910,0.45259,0,0,0,0,0
